from_id,to_id,weight
0,1,528.2476130689519
0,8,47.83095908632329
0,12,252.2153185964931
0,14,365.0251798505152
0,30,33.5687872759589
0,32,54.14602708349174
0,33,36.4231860145875
0,34,2.911627935628046
0,35,53.92176367623381
0,47,13.477386622318093
1,2,1174.3974116444006
1,4,658.674880128898
1,5,21.270845764216897
1,6,77.3751827243947
1,7,26.455785581740336
1,8,80.93964933869569
1,9,157.85165971713002
1,12,488.0015664764701
1,19,865.4108435950368
1,23,197.8516498521136
1,24,63.949433260887524
1,25,115.70003186113188
1,26,10.867292401407484
1,28,107.72652805563376
1,29,290.50589600062824
1,32,61.85142521335408
1,33,36.759636187797945
1,34,3.9685299267225274
1,35,53.8942575683339
1,36,53.39582268044428
1,37,77.23310598831432
1,38,16.66336272955587
1,39,22.786584329811227
1,40,12.949630187965411
2,3,2036.0561326886157
2,5,24.49952756035462
2,6,31.010171407503048
2,7,27.3081899928355
2,12,265.7194470794973
2,22,259.25406987724057
2,24,131.06949154095625
2,37,28.10788006202871
2,43,20.25626605860884
2,44,7.559396157231618
2,45,25.18377715713647
2,-1,1269.6057629281092
3,4,11.072373381969344
3,22,281.0831079229086
3,-1,2345.6416925931503
4,9,178.09473221515418
4,11,11.227999481481326
4,23,276.6521767654395
4,-1,1118.436346788802
5,6,17.356196195150673
6,7,23.946832284834173
8,13,390.86036634446003
8,14,135.94366148180976
8,29,433.38517002395497
8,30,6.853431285145028
8,46,17.41318011525811
8,47,14.344078085924183
9,10,35.590501754243206
9,28,46.9123303596332
10,11,397.2808983714983
10,19,304.6543607437577
10,26,84.32099948900978
10,28,15.556771238399627
11,19,1727.944180644476
11,20,248.83478982319903
11,21,143.96553443899018
11,-1,2049.4429824233916
12,14,407.70193015393255
12,16,11.365815569332593
12,18,45.41192890986801
12,31,39.48994680447477
12,32,35.37822182468369
12,37,66.1734308300486
12,42,14.46351481080334
12,43,16.754643271083147
12,44,1.2226797630418702
12,-1,1221.517836846399
13,14,495.7272710057158
13,46,17.8135522652354
13,-1,428.10576074752106
14,16,15.141626068929716
14,17,13.332282516887895
14,30,36.863563501090646
14,-1,883.8507693119836
15,16,17.010819133894667
15,-1,63.03364422875695
16,17,7.186360664989023
16,18,18.032855358609034
16,-1,10.97581712577223
17,-1,13.066845434089233
18,-1,47.00430823364289
19,21,76.84248357058337
19,26,118.50015660662328
19,27,52.40102622740116
19,29,622.2859989958024
19,38,17.68715745106666
19,39,4.107700237859007
19,41,14.43293753244531
19,46,20.55701502095285
19,-1,1343.1837910144575
20,-1,341.87117652514615
21,27,41.976697688742355
21,-1,41.06337889503107
22,23,34.84495574941451
22,24,54.041515786212145
22,25,33.16922170844054
23,25,78.22119642955154
24,25,49.07952925834005
26,28,89.48983788911409
27,-1,44.26632486861644
29,39,7.236322141197863
29,40,13.105246548354822
29,41,14.643030628598641
29,46,16.241312334669836
30,47,7.692929971443542
31,-1,39.077109287718265
33,34,14.990052787857113
34,35,12.529731949405157
34,36,7.845726412791201
38,39,10.50995769687223
39,40,6.014364826605929
39,41,9.981062764843697
42,44,18.78447323457071
42,-1,19.81851221106514
43,44,17.709742149615405
44,45,20.062924811015304
44,-1,6.3596859717127385
45,-1,24.378861681209642
46,-1,17.10241918883867
