######Solution summary######
District nodes: [111, 116, 130, 143, 227, 234, 235, 236, 237, 238, 239, 240, 325, 326, 440, 441, 443, 485, 487, 490, 491, 557, 606, 630, 631, 640, 642, 654, 723, 726, 756]
Suffix: _LB=1000000.0
Polsby-Popper score: 0.8820
Inverse Polsby-Popper score (Objective value): 1.1338
Area: 1673228.4760
Perimeter: 4882.5684
Model status: 2
######All Variables######
x[458]: -0.0000
x[459]: -0.0000
x[460]: -0.0000
x[461]: -0.0000
x[480]: -0.0000
x[481]: 0.0000
x[482]: -0.0000
x[483]: -0.0000
x[484]: -0.0000
x[485]: 1.0000
x[486]: -0.0000
x[487]: 1.0000
x[488]: -0.0000
x[489]: -0.0000
x[490]: 1.0000
x[491]: 1.0000
x[492]: -0.0000
x[493]: -0.0000
x[494]: -0.0000
x[495]: -0.0000
x[496]: -0.0000
x[497]: -0.0000
x[498]: -0.0000
x[499]: -0.0000
x[500]: -0.0000
x[501]: -0.0000
x[502]: -0.0000
x[503]: -0.0000
x[504]: -0.0000
x[505]: -0.0000
x[506]: -0.0000
x[507]: -0.0000
x[508]: -0.0000
x[509]: -0.0000
x[510]: -0.0000
x[511]: -0.0000
x[512]: -0.0000
x[513]: -0.0000
x[514]: -0.0000
x[515]: -0.0000
x[516]: -0.0000
x[517]: -0.0000
x[518]: -0.0000
x[519]: -0.0000
x[520]: -0.0000
x[521]: -0.0000
x[522]: -0.0000
x[523]: -0.0000
x[524]: -0.0000
x[525]: -0.0000
x[526]: -0.0000
x[527]: -0.0000
x[528]: -0.0000
x[530]: -0.0000
x[535]: -0.0000
x[543]: -0.0000
x[544]: -0.0000
x[545]: -0.0000
x[546]: -0.0000
x[547]: -0.0000
x[548]: -0.0000
x[549]: -0.0000
x[550]: -0.0000
x[551]: -0.0000
x[552]: -0.0000
x[553]: -0.0000
x[554]: -0.0000
x[555]: -0.0000
x[556]: -0.0000
x[557]: 1.0000
x[558]: -0.0000
x[559]: -0.0000
x[560]: -0.0000
x[564]: -0.0000
x[565]: -0.0000
x[566]: -0.0000
x[567]: -0.0000
x[568]: -0.0000
x[569]: -0.0000
x[570]: -0.0000
x[571]: -0.0000
x[573]: 0.0000
x[574]: -0.0000
x[575]: -0.0000
x[576]: -0.0000
x[577]: -0.0000
x[578]: -0.0000
x[579]: -0.0000
x[580]: -0.0000
x[581]: -0.0000
x[582]: -0.0000
x[583]: -0.0000
x[584]: -0.0000
x[585]: -0.0000
x[586]: -0.0000
x[587]: -0.0000
x[588]: -0.0000
x[589]: -0.0000
x[590]: -0.0000
x[591]: -0.0000
x[592]: -0.0000
x[593]: 0.0000
x[594]: -0.0000
x[595]: 0.0000
x[596]: -0.0000
x[597]: -0.0000
x[598]: -0.0000
x[599]: -0.0000
x[600]: -0.0000
x[601]: -0.0000
x[602]: -0.0000
x[603]: -0.0000
x[604]: -0.0000
x[605]: -0.0000
x[606]: 1.0000
x[607]: -0.0000
x[608]: -0.0000
x[609]: -0.0000
x[611]: -0.0000
x[612]: -0.0000
x[613]: -0.0000
x[614]: -0.0000
x[615]: -0.0000
x[616]: -0.0000
x[618]: -0.0000
x[623]: -0.0000
x[624]: -0.0000
x[625]: -0.0000
x[626]: -0.0000
x[627]: -0.0000
x[630]: 1.0000
x[631]: 1.0000
x[632]: -0.0000
x[633]: -0.0000
x[634]: -0.0000
x[635]: -0.0000
x[636]: -0.0000
x[637]: -0.0000
x[639]: -0.0000
x[640]: 1.0000
x[641]: -0.0000
x[642]: 1.0000
x[643]: -0.0000
x[644]: -0.0000
x[645]: -0.0000
x[646]: -0.0000
x[649]: -0.0000
x[650]: -0.0000
x[651]: -0.0000
x[652]: -0.0000
x[653]: -0.0000
x[654]: 1.0000
x[655]: -0.0000
x[656]: -0.0000
x[657]: -0.0000
x[658]: -0.0000
x[662]: -0.0000
x[664]: -0.0000
x[667]: -0.0000
x[668]: -0.0000
x[669]: -0.0000
x[670]: -0.0000
x[671]: -0.0000
x[672]: -0.0000
x[673]: -0.0000
x[674]: -0.0000
x[675]: -0.0000
x[676]: -0.0000
x[677]: -0.0000
