FID,area
0,695738.7296844266
1,6889.222895794392
2,10231.134684668657
3,159.97826630893778
4,1683.331584961342
5,431124.7367991453
6,4683.135928339971
7,30116.81243221972
8,8002.924151563572
9,14498.029131903964
10,524932.0991733962
11,879429.038491387
12,2859.7447683782952
13,8970056.836014682
14,324440.4386716545
15,502744.8084812869
16,2853013.573884956
17,7365.513741133718
18,26098.30345270588
19,144017.13438294872
20,111289.31232184304
21,639.5493371573488
22,8758.224162528875
23,11249.534754528364
24,713330.2488906122
25,6800767.323509623
26,34649.22588628713
27,1862.8697917023146
28,331712.35282540874
29,14469.443474041616
30,14233.859019931182
31,218.80672454893198
32,6998.172501871363
33,9945.359420409164
34,1158738.2728900115
35,14006.421393094764
36,473.9739341641988
37,18960.754594820643
38,10973.664361662379
39,44.768369196778586
40,5994241.185414471
41,511636.1316769557
42,525.8630571480084
43,5436.407378829811
44,1545478.79706376
45,28.22648037144356
46,94.46770934016187
47,411.5468400185169
48,39.20859678755531
49,8950193.020072117
50,5436.685749591611
51,3589.826790913547
52,3377.3400792101866
53,358243.94360098575
54,317439.93652539956
55,14276.778286949771
56,2230.591483501928
57,3893771.640257702
58,9968.409894599794
59,1854461.2051236597
60,7269.093810448348
61,4160.499970515781
62,24291.9178296782
63,27784.317017739308
64,746761.0957076093
65,9680.602928738308
66,512784.7256715129
67,5138.100316640112
68,230125.23464749596
69,4668.721151511219
70,513.5772495194585
71,554003.9562103932
72,166697.40731189284
73,5236192.291163664
74,2606470.7343097343
75,6515097.193410314
76,1687828.7110927352
77,747045.348688447
78,7717.659953770036
79,3935.356736716107
80,1148.2478990974193
81,9233.31382624873
82,1266.9923405256454
83,7860.267718972136
84,64.24613353062087
85,14289.51144192074
86,3117.168387424129
87,6577.189021691282
88,96.97974029546026
89,1309.6912289648837
90,1434.19903020098
91,4572.9439942527515
92,18291.54608056735
93,479.6938178349532
94,4590102.15842588
95,6518.44963356121
96,861533.738747736
97,300.7340938028427
98,550.0105155019122
99,214.87898546219242
100,394886.90791827213
101,19734.137044143186
102,4584672.761741559
103,26535.998098157877
104,1685314.918017823
105,672.6829116823125
106,2885.2177429670287
107,64417.48148995579
108,649460.6458972656
109,282.9992740949667
110,3691.9622799947547
111,2186.768607191326
112,257.33641540813716
113,106226.241428221
114,120.31832092233792
115,27794.88970188462
116,141.60387153260513
117,7965.014963033119
118,91418.77204267544
119,1217.9799288130887
120,498.6926503043541
121,22202.786610038413
122,5118.609883413367
123,713050.8036160611
124,545.3147552816455
125,212466.17637556486
126,5898.066147249446
127,6424.154507491836
128,8125.795930657971
129,3532.774822431542
130,169.90205572558816
131,149.89337185531286
132,218.831386220247
133,190.43848128953726
134,195.6444125056507
135,154.09476295605745
136,5411.159197905003
137,183.8690326251068
138,233.7502415125573
139,172.8769235798588
140,26406.107690579956
141,1701155.3479161898
142,1725471.0119117827
143,7241247.157342238
144,916184.3588578914
145,11108.098207766829
146,3652.5676898847955
147,12673.025444597368
148,1357778.9270429648
149,4582.987392627097
150,653598.1959066838
151,1187.3111635423786
152,5327.1158814197415
153,612526.7853428079
154,4914.246133027544
155,1616.7204690111669
156,24429.894829581917
157,235.96512812587602
158,2448472.3623628127
159,10411.399668684542
160,908.5818394282314
161,9072327.75854116
162,24809.094218942315
163,1049.5161836571683
164,9415.692907176768
165,7028.444551060922
166,7235.478501914633
167,7935.924158474178
168,1527856.2616508123
169,9031.083572881906
170,559714.1268562732
171,520.4360284309041
172,31098.754769700347
173,43100.05344768943
174,10625.266038259582
175,3524.403819668997
176,11428.842760892807
177,283.72643553193035
178,38768.02130282912
179,171.9950545956241
180,4174.602304780499
181,198878.9349275683
182,831.4511741396296
183,13594.92104534524
184,1190653.7003116643
185,9259777.126126463
186,878.4873805165006
187,101.96834705776018
188,15868.983776757728
189,207.0386524145881
190,12114481.46830324
191,93.77228553781084
192,665.4549347330108
193,6682.646542117061
194,3126235.517653868
195,8809971.281917915
196,294262.20587903704
197,1962918.4171087355
198,212609.7075596831
199,2887186.15838553
200,7524.944955500818
201,260400.7887183565
202,1449944.2428709653
203,775753.9883914446
204,1326663.0627785542
205,743527.3830020778
206,107516.55854975262
207,223.22818448851567
208,614380.487828237
209,219.64765557333678
211,108390.88803266262
212,8667773.297318773
213,297.66782359766177
214,8800057.651209809
215,234.19618849328316
216,8246.166622519862
217,4173.580739084743
218,812314.1505115365
219,40374.49186358914
220,445.29697544584945
221,3746998.524377366
222,4857584.73576902
223,3228147.209939958
224,46720.17876247756
225,364.18564290257143
226,932786.6343093377
227,2037140.0553711625
228,397.0971144230046
229,5069.1960296579855
230,2296.705306317707
231,102.9417601656256
232,1858.733042341806
233,199.06766493732772
234,9157.245898950045
235,1349.88731798635
236,2314313.6449727956
237,491256.4029310363
238,10766.835485985961
239,1301.3651064720723
240,670.8426907801402
241,4379.601231742549
242,844.6125914580858
243,5056.611173751814
244,96.73329250445265
245,374.3555410544502
246,16509.5798575962
247,6762.696143268442
248,23460.458098480514
249,20209.403207162573
250,2414122.595368953
251,2138401.0005471203
252,1033.840294014363
253,598459.6641132088
254,1226.8760184292535
255,778604.1091854599
256,1442.266236550295
257,1107.4621299218443
258,549.7118299421384
259,1570.1301573674052
260,4850.253495203468
261,27581.54100629224
262,17786.469536116987
263,214165.24064144352
264,735015.2092764351
265,7828.654299212223
266,24733.611247627996
267,160.48142729691574
268,23455.848264456665
269,8763.074130774765
270,250.5304684436812
271,368.08800236744116
272,1905.2959532706202
273,5396.063636414183
274,406735.63510020217
275,328599.15011985786
276,110.55370935028418
277,429479.6147242174
278,4047.9675077994925
279,443.5774288762204
280,16203.879328777519
281,12212.554766304065
282,7345.794961357374
283,300.03119486989254
284,555.5291505537859
285,4828111.586993596
286,98.87890244842329
287,200.72717253472464
288,876740.164003823
289,4775.31894363956
290,45371.32646213821
291,616762.0134951973
292,5046.213265622485
293,330.03908581981705
294,26.355225063319175
295,669.8301639983287
296,11398.628077686217
297,1300.093197996509
298,27283.35857674836
299,166.1514357191208
300,16982.263395673057
301,17983.10728079243
302,7133.14024862619
303,6846.628257906197
304,397.91024313984155
305,373.04009008744606
306,288.21786007814654
307,106.1928858267647
308,6243.625062256524
309,97.34516329496313
310,5.479603400143199
311,14.704714167879679
312,131.61910092755716
313,565.7368116161247
314,4924.759811247164
315,718052.3735428543
316,6121.274430757957
317,160093.46228496195
318,1047.908431026356
319,4326.695741997444
320,14680.468800947936
321,5777.185238854566
322,1055.6260973481355
323,4152.361417939779
324,36210.73206695073
325,2639.4997117526236
326,1064.44772470629
327,745197.4392758729
328,34969.17067777086
329,10083.379529417109
330,16150.83726419795
331,1346.8764662988358
332,6072.014171510717
333,4202.200677710083
334,5053.079007379598
335,19141.063379114315
336,143.47198439745415
337,510.4544218465526
338,12190.695015720532
339,4496.9223695457695
340,5546.77347769593
341,10721.530132659069
342,6756.291934298419
343,2267077.77649364
344,154.6374192536602
345,1742133.9977552085
346,6016966.200064063
347,7354.190433856233
348,6835.838793385534
349,847293.24526541
350,1420960.2110948046
351,17029.333747118708
352,5609.818413198523
353,35607.959628393444
354,391.6024046403402
355,5468780.027582375
356,422.8661044402402
357,4761.131677152164
358,4911.095329408308
359,20460.419398128946
360,224.5108462116714
361,209465.43131194555
362,3894.887589736927
363,5725.56692671477
364,129666.87221691507
365,11058.219697720107
366,537926.3969921084
367,9447.125937913555
368,9230.675236804454
369,9247.716055209954
370,9650.739395621089
371,10737.283463797788
372,10266.056371225019
373,10974.569701514718
374,13193.714894610419
375,3794.6664785053463
376,1007.0710493618601
377,17281.93289740258
378,6712.273413396426
379,8747.97466264571
380,3771.7663818112383
381,3813.5578373989297
382,7587.651143333769
383,4510.160963961296
384,4681.678591695207
385,422.43770095441425
386,502.75537704459634
387,195407.9971823717
388,381079.2283267031
389,4413.675043330778
