FID,area
0,3747.1461549782252
1,106.54135416217822
2,901.1058949350951
3,189.95697234687034
4,430048.63855507725
5,2453741.5291545163
7,3298784.9546295395
8,12395.940330785017
9,3305.545702756688
13,1987.5907082737986
14,646245.586563766
15,968.9034647533284
16,480342.92300433014
17,513141.87799890287
18,46.02490879062771
19,233.00484731919968
20,51.861452679284355
21,273.3056642447752
22,330.73318836504734
23,667452.6204601023
25,335563.54399245704
26,3561.4983197745873
27,4411.309672458964
28,608258.4818340956
29,14221.0633180067
30,74.22428566870025
31,371.5475606301081
32,1987249.563626913
33,881410.4179511609
34,1860869.678117565
35,5595862.949414792
36,7879.805347250637
37,29419.774499453688
38,2602.1103818005868
39,2577615.254582384
40,3184464.1369535164
41,1280.7287534743864
42,974.3730335746545
43,3541595.6255390802
44,11163474.761757141
45,3106.205859159588
46,9292.780449483032
48,6193.265762309422
49,3464899.119153718
50,372341.17054631957
51,4753.541212857835
56,131.5384097654473
57,2423.899894622322
58,226.34057558134526
59,3481679.586506411
60,156918.84613070873
61,10723909.038605249
62,433.3718551252366
63,113.41153223138934
64,1275838.332704344
65,2053.090577028526
66,1209167.594844315
67,1589758.2172566412
68,1972900.4789830032
69,1086151.8335801398
70,2185.1928221254557
71,10537.671030997542
72,2034271.687393708
75,6513.441585094692
76,8360.87944513621
80,1136923.5299144902
82,546790.6979300553
83,287.40892565609875
86,10671.538631089063
88,3402.7324433180033
90,9203.751285625121
91,120918.90862257029
92,8992.949352524536
94,7244.620052154458
95,4162.779078948273
96,134.7170488786584
97,74.44005206962558
98,233.16471488356592
99,57.33079856660166
100,11624.094190135957
101,152122.03500682197
102,274974.80083035823
103,272628.3823874499
104,430.6359727651298
105,1099.6909529331997
106,3214.1853017432354
107,6863.189165782396
108,32513.67176792782
109,9080.729442038119
110,11451.783475054543
111,26393.455865001557
112,117706.69440245855
113,83365.46129594349
114,14041.633138687162
115,11728.177221967733
116,154.42130154313506
119,361.66639268143086
120,247.27300002111144
121,763.4058887975403
122,880.7074032649348
123,155.0010169935537
124,6488.609183104813
126,276.1131269694305
128,1275.3309190319117
130,451.7512926832169
131,411.0235587897858
132,718.1070259636554
134,415.6280199785149
135,1213.8401224710517
136,1445.5439340678531
137,279.7471696502863
138,520.8319516367176
139,287.7328515811523
142,610.2298588754393
143,279.4381014074643
144,308.7726584497918
145,349.2927963889121
146,302.47888058935
147,225.15111201366224
148,404.170427285645
149,330.8066078279007
150,372.81915565802103
151,363.4111074430658
152,333.42486004222707
153,848.9717212853624
154,358.093919645786
155,445.59925752240525
161,260.648675726884
162,1607.918906661744
163,326.46870704156436
166,192.92615123449934
167,346.62185923694096
168,207.41424104814794
169,96.34108365338163
170,92.87533175558227
171,314.86718322148465
172,463.46511100312074
173,106.85852022701394
174,228.37296130982654
175,193.73558406998654
176,331.932942910975
177,94.50075984996454
-1,0
