from_id,to_id,weight
0,1,18.239279458612984
0,43,306.05300464616454
0,101,281.6156296808876
1,44,6.9425917550456
1,135,10.629064286618762
1,136,9.739699374512263
2,3,13.534281296079754
2,44,105.12863736538124
2,66,102.66989748579579
3,41,13.876164306834648
3,42,14.682112525778006
3,128,13.244800397725182
4,5,426.07810132793486
4,7,1054.88990404294
4,15,73.8243924231235
4,64,492.76384336064854
4,102,597.7120809900644
5,7,2795.3020221577
5,8,112.88836042543423
5,9,168.28516209094403
5,15,23.48587983550981
5,21,39.013466109708446
5,22,30.19881300538737
5,29,460.9128735043497
5,46,285.50864170675436
5,69,1245.3418179630867
5,-1,1924.6540012450905
7,15,71.77143941891103
7,43,3652.4371956133677
7,92,632.5701340388257
7,102,559.3786869157708
7,110,719.3800041818796
8,9,118.84523137629817
8,22,46.716721166752706
8,69,96.66439094655412
8,-1,48.99561588656576
9,-1,200.12451507040043
13,14,50.0681738577961
13,23,140.5043298114921
14,23,336.5134275860246
14,28,1474.1183911661076
14,33,614.2026413724751
14,38,292.7212127853965
14,41,128.9141429382725
14,66,807.989071654516
14,108,190.25911295760136
14,128,113.86979873981193
16,17,446.0203208559518
16,18,11.837971951409724
16,19,20.542130271582884
16,20,12.894009489093353
16,23,891.3439194548597
16,30,17.231815268050426
16,91,699.7001588248439
16,92,582.4567402859922
16,98,20.506909046024802
16,99,14.730188164288014
16,119,60.984106053697374
16,171,33.738237593320136
16,177,21.083810458996936
17,18,12.759446983566638
17,19,13.560102403563272
17,20,14.115246471167971
17,28,1054.407133691483
17,30,20.110291747620863
17,50,91.15863869882249
17,58,30.76432748262697
17,59,893.4445835757317
17,60,577.0432650682527
17,98,13.700705255833501
17,99,14.105182327798698
17,138,69.64763104592373
17,177,26.105021536561786
18,19,10.234799048471869
19,20,10.126753490400052
21,22,22.077063076889882
21,69,39.04595813137196
22,69,1.4657401861981907
23,28,181.02054166678323
23,38,293.37169449499555
23,43,195.7132225968439
23,66,1028.9561367748795
23,92,48.068142535249535
23,101,489.26586684607423
23,142,67.84300743862437
25,49,490.93590003934565
25,110,712.4656536304196
25,174,51.709821945364126
25,-1,1151.6947336718865
26,27,11.824970599357965
26,91,287.54165967057264
26,92,13.106008228866505
26,102,292.91003290459685
27,63,12.527109233432991
27,64,425.298390234494
27,65,40.54949116776781
27,112,460.1463955710834
28,31,55.898570476696406
