FID,area
0,119850.53129735142
1,294.677314104468
2,2834.154582435222
3,1327.9566983882764
4,871525.2434381072
5,143508.29091015123
6,126590.95704330334
7,139992.75971091192
8,64457.8785145602
9,3952.7797202864103
10,580896.1974577369
11,2224.7378639978306
12,372.1609531181062
13,3279.210144365192
14,327812.4338578843
15,1022899.8140374477
16,463414.60900835984
17,79288.93861775125
18,1257717.8310882696
19,561674.5715219469
20,504591.5402035636
21,688302.3004312338
22,2148024.800776302
23,2217.7481475963677
24,250778.29272603965
25,130019.22654251735
26,4787.086458119493
27,696883.9246841636
28,851.6563835844722
29,78.03736247057401
30,5805.650607102346
31,5922.120512463002
32,9617.0685032333
33,5624.814127701212
34,61446.19611305931
35,633669.3698698683
36,384.11438866912965
37,126.88287157350906
38,197961.22699532722
39,3414368.0710312105
40,78489.73866527287
41,3306.870984380931
42,333342.31874859997
43,459.07457683492436
44,9113.878410449677
45,696.1032323656402
46,294.0979452800272
47,5020.507084271554
48,116.58681683673791
49,13357.680669563768
50,417.6169750939239
51,21386.74764270945
52,7436.018102563118
53,220986.30169282114
54,3114.740996035387
55,541423.6852820795
56,5419.831059259366
57,202.42613798395757
58,15893.316487627926
59,456270.5718176803
60,1636644.2620462338
61,186215.8245989427
62,557.2596920781295
63,2779.370523994703
64,847396.0359933226
65,982.270077183672
66,2051.4292572432723
67,675655.0212333602
68,6461.453110840226
69,429162.35472636897
70,6871.477915044889
71,2805.890976946121
72,6987931.364958203
73,853706.7364874682
74,1489330.7168889733
75,411.64639257576397
76,2846.69778739008
77,337.55019422667806
78,6410.552451227141
79,6433.216197916224
80,299584.12591618014
81,10611.668832821382
82,19697.292629731706
83,13636.144184244464
84,12889.229710961023
85,323446.2452770121
86,1092.2725443812933
87,103138.63704752193
88,6569.71350022231
89,856724.5937583365
90,6949.067378231792
91,308.2142105425248
92,182.23433510908336
93,4128.4119691524365
94,231018.82040343166
95,9112.62863053385
96,371.06683905097805
97,5957.340083786006
98,2945.7570162768607
99,226.91056100937334
100,227.49099592356038
101,378.14313328690923
102,9289.540249168154
103,240099.82432447452
104,1078219.2918491047
105,739962.380048674
106,261820.58422488192
107,280771.2158429386
108,392.66129054732215
109,5405839.806826543
110,1149.4231685035802
111,211.49282767631752
112,12153010.926846532
113,211.51265901235388
114,981484.3752761891
115,235.70215233462255
116,536380.2711526329
117,963284.591473063
118,434589.51596925047
120,7370.366822472304
121,32095.135716396995
122,911.0107702007509
123,7612.941045946185
124,119289.01116198594
125,1264.565862436895
126,560023.0921991924
127,2809857.697973636
128,12196.406016125382
129,6317.717997033874
130,2325.7643065830266
131,370909.0085928841
132,5110.0108077956365
133,5791.244683436392
134,8789.286405849018
135,7866.943979883918
136,24380.50892944367
137,6044.938506702664
138,218011.17595715701
139,4995.467165713086
140,4694.300570342338
141,538.6952372031913
142,9515.031157358366
143,145.32659258153083
144,16462.892100480516
145,29435.956438096637
146,5596.134939841528
147,7921.811217454528
148,9532.118939078704
149,3647.7650530706087
150,9724.683798094691
151,4571.037626938377
152,3942.5369456492854
153,11995.51674230261
154,34902.85792171308
155,20356.8039910895
156,227.3068121512929
157,6649.5467163498915
159,4038.920979821679
160,5459.865977220232
161,776.6261807470473
162,936.069295315299
163,2518.15796293546
164,1388.5898650086172
165,42046.43308483801
166,4104.810014639346
167,19525.764847255316
168,1259841.4402812724
169,2199197.6457978105
170,3044725.322799762
171,2526.042321048769
172,530078.9305747045
173,2951.577031801347
174,1072.6250967649398
175,502881.52877895214
176,5032.448801292969
177,35119.04761389441
178,145477.8651946974
179,5992.160417217826
180,684713.0289915288
181,392781.3851881974
182,1718.7488725709798
183,3680.6356308629393
184,654.4763249019268
185,1561.7435340941029
186,8347.593825114194
187,1523.9556618417712
188,621.9461540566241
189,4899.39967230185
190,76.38624190059417
191,12587.87320087745
192,248.26304435893314
193,16585.23027133522
194,4036.4909784208285
195,7169.049868976042
196,210955.54735558238
197,10911.574297605874
198,2240.0958654169563
199,79.38415873224709
200,209.5603892574007
201,213.51836121974102
202,172.97916738509485
203,136.20059303406563
204,40.517485217098375
205,116.68685404366639
206,237.54607690212023
207,115.38788591498944
208,5286.04939763938
209,4079.298250047059
210,5553.848809904975
211,26.488535611558973
212,1433.819209352087
213,2809.9929602134785
214,5959.926885582148
215,15308.179576944596
216,1373.3242811882985
217,681.8451332142466
218,13559.637612626417
219,731.2073122566626
220,43152.441130180894
221,224.7595503737218
222,4169012.3455880643
223,28915.064500064047
224,9661.072065913728
225,6233.607264399851
226,21485.90620221923
227,14318.984061653578
228,9718.193578231174
229,5520.070970351915
230,149.90928788070738
231,28770.860994848274
232,241.4716041428882
233,4632.478862787033
234,156.7805325256794
235,13502.60449180745
236,8400.712596830217
237,8426.522088433878
238,4615.212081932446
239,15371.880656157216
240,3727.4776271823084
241,9722.223023799901
242,32842.24879791244
243,2818.5580870611197
244,228.54322477822646
245,13303.97592909078
246,11388.072767119711
247,338179.9924774085
248,10399.104844477859
249,1993.4605641490234
250,175.8474849520851
251,639.5343012048303
252,1390024.9751012016
253,1050697.3782067762
254,1158128.0961576395
255,3310.8844207487346
256,166.8646749013981
257,315.13695238983894
258,10531.790392592366
259,7448.500552215043
260,5680.423891985757
262,287.58774768965156
263,37.25215167165303
264,69.20581856918733
265,674820.1700301743
266,50320.922138152804
267,7489.580928821727
268,17940.73310949123
269,3393.491264255665
270,6882.652058832888
271,1396.5303814431543
272,238.8759747962528
273,715.9802976821035
274,330.91303898528236
275,344.9781472598899
276,287711.1220031366
277,2497.296023722489
278,1835.6584346054572
279,1475.6151233058258
280,878.4737510151789
281,18873.905823341687
282,12050.983377827275
284,17881.72441281493
285,4581.637546617214
286,5022.308213825587
287,183681.69713648874
288,8415.091252891432
289,329412.2362781289
290,548565.0584899125
291,1992.7039246868944
292,1121571.8663641526
293,6976.6238779164105
294,16867.969964364616
295,4455.667216576878
296,22767.758644862963
297,9075.03851918515
298,7753.600525332993
299,197.4342955497795
300,16759.76833292825
301,179.5829612997843
302,7187.719242419285
303,197.10666825577454
304,18369.341199781196
305,638500.105162333
306,8506.884751162224
307,1020319.7761415247
308,7964.107724338317
309,7699.821755615773
310,7979.848513569895
311,24914.13591716112
312,260.61812137174115
313,725.6154276033375
314,367296.3756154487
315,11095.170185010942
316,107.7088996538906
317,6198.473201265461
318,394875.26423301006
319,315291.99028031976
320,2769.2989604674826
321,103.14954499673843
322,711.2424778033168
323,7.389433260262109
324,1204.2991408852245
325,246.66326251701813
326,51.616377016851914
327,205.36723739789562
328,126.88847864684499
329,2940.2108031765533
330,1790.7524056255702
331,1446.2340698512003
332,1741.8050639995836
333,438.3912159131777
334,1276.9273196725737
335,14855.971802232627
336,224.88395783346937
337,538.8988467075857
338,1087.7745820779396
339,532.6404523669828
340,1283852.678528829
341,812651.7520881662
343,749.9609656723707
345,249.9596870089659
346,612.2204097006565
347,604.2432339603893
348,1714.5609485027535
349,356362.8057191796
350,226.67457208488727
351,288691.88887118985
