from_id,to_id,weight
0,1,55.33075792963824
0,6,549.4728480447441
0,10,739.7610350823898
0,11,182.69524627601913
1,6,50.14456137557906
1,684,10.46249917742797
2,3,12.222051306103145
2,5,336.578431868667
2,10,347.97040780730333
2,130,15.832269277817073
2,882,24.18161668979789
3,4,88.18888015238716
3,10,142.05744637461973
3,554,28.38140894559427
3,566,42.87948954808888
3,743,11.133562876149709
3,940,6.047370893737972
4,5,714.0644309181149
4,16,17.88326319005241
4,33,274.28457739860886
4,71,57.52364630175866
4,78,331.5273454813646
4,152,207.85299189085487
4,198,210.3523927201315
4,554,49.899714629234495
4,566,66.80775252385618
4,572,304.35149451647794
4,615,1315.3717420706917
4,650,50.27529779378947
4,651,1156.9320222038943
4,663,259.8676548344302
4,749,69.21224099471694
4,772,61.458372866708956
4,881,10.357244153174307
5,16,277.8409652925599
5,554,27.687275116408934
5,881,159.11155939811118
5,882,85.4767483767154
6,7,227.7054470480865
6,491,671.4262907760929
6,542,225.30193074598347
7,10,415.4937065413931
7,108,68.27017757687074
7,208,27.92182558628054
7,491,30.796634123591364
7,601,479.4504822612041
7,819,151.04991440653993
7,996,216.4467697576893
8,9,260.46935473306263
8,55,337.2222855721711
8,56,532.0199879715959
8,182,41.61823537754253
8,183,54.94772724150119
8,885,26.705278298022208
9,42,14.570463219248923
9,177,259.9771104640502
9,182,15.128604071795234
10,11,198.27870839002009
10,106,592.4604645561611
10,108,66.42572558793496
10,129,420.80353149076075
10,130,198.6163267516296
10,492,60.78558616466736
10,678,188.0588558117258
10,743,18.142215924198265
10,819,120.59973988450315
10,822,265.2990813152084
10,894,278.43762321705697
11,684,15.544977222007294
12,13,29.35950429934726
12,14,56.9322913607809
12,51,38.31193945837571
13,14,189.46833063420866
13,15,179.33613950339662
13,50,16.571300037777643
13,141,48.82845434708295
14,15,888.395940240735
14,51,984.0029133401607
14,165,355.5118471545037
14,896,31.014738805655114
15,52,138.38868469588846
15,54,233.07885040757105
15,56,570.1985475967498
15,93,341.18060224656756
15,120,357.20532494638724
15,141,62.093327005536054
15,163,99.89364892616724
15,164,52.33346990578665
15,167,1122.5595759577234
15,335,78.96068959309882
15,624,9.01393937645687
